directory,filename,file_path,size_bytes,size_human,lines,characters,words,tokens,tokens_per_kb,analysis_date,encoding_used
markdown,Abu Dhabi Procurement Standards.md,markdown/Abu Dhabi Procurement Standards.md,136797,133.6 KB,1426,136773,18337,26392,197.56,2025-10-01 01:17:16,cl100k_base
markdown,HR Bylaws.md,markdown/HR Bylaws.md,269924,263.6 KB,1773,269921,35672,46231,175.38,2025-10-01 01:17:16,cl100k_base
markdown,Inforamation Security.md,markdown/Inforamation Security.md,2266859,2.2 MB,5265,2266313,116764,189021,85.39,2025-10-01 01:17:16,cl100k_base
markdown,Procurement Manual (Ariba Aligned).md,markdown/Procurement Manual (Ariba Aligned).md,504122,492.3 KB,6331,503920,53039,88206,179.17,2025-10-01 01:17:16,cl100k_base
markdown,Procurement Manual (Business Process).md,markdown/Procurement Manual (Business Process).md,269567,263.2 KB,2869,269475,25910,42661,162.06,2025-10-01 01:17:16,cl100k_base
markdown-by-mistral,Abu Dhabi Procurement Standards.md,markdown-by-mistral/Abu Dhabi Procurement Standards.md,121470,118.6 KB,1589,121470,17768,22820,192.37,2025-10-01 01:17:16,cl100k_base
markdown-by-mistral,HR Bylaws.md,markdown-by-mistral/HR Bylaws.md,211983,207.0 KB,2043,211982,35897,42506,205.33,2025-10-01 01:17:16,cl100k_base
markdown-by-mistral,Inforamation Security.md,markdown-by-mistral/Inforamation Security.md,623399,608.8 KB,6109,623399,106539,173268,284.61,2025-10-01 01:17:16,cl100k_base
markdown-by-mistral,Procurement Manual (Ariba Aligned).md,markdown-by-mistral/Procurement Manual (Ariba Aligned).md,345372,337.3 KB,5487,345370,51717,81952,242.98,2025-10-01 01:17:16,cl100k_base
markdown-by-mistral,Procurement Manual (Business Process).md,markdown-by-mistral/Procurement Manual (Business Process).md,169533,165.6 KB,2692,169533,25726,39602,239.2,2025-10-01 01:17:16,cl100k_base
markdown-by-llamaindex-parse,Abu Dhabi Procurement Standards.md,markdown-by-llamaindex-parse/Abu Dhabi Procurement Standards.md,133650,130.5 KB,2680,132471,18231,26212,200.83,2025-10-01 01:17:16,cl100k_base
markdown-by-llamaindex-parse,HR Bylaws.md,markdown-by-llamaindex-parse/HR Bylaws.md,230969,225.6 KB,6131,230958,34339,49338,218.74,2025-10-01 01:17:16,cl100k_base
markdown-by-llamaindex-parse,Inforamation Security.md,markdown-by-llamaindex-parse/Inforamation Security.md,608371,594.1 KB,16893,607922,78396,139059,234.06,2025-10-01 01:17:16,cl100k_base
markdown-by-llamaindex-parse,Procurement Manual (Ariba Aligned).md,markdown-by-llamaindex-parse/Procurement Manual (Ariba Aligned).md,553739,540.8 KB,15183,547487,64802,140793,260.36,2025-10-01 01:17:16,cl100k_base
markdown-by-llamaindex-parse,Procurement Manual (Business Process).md,markdown-by-llamaindex-parse/Procurement Manual (Business Process).md,252579,246.7 KB,7603,251337,29281,63657,258.08,2025-10-01 01:17:16,cl100k_base
,,,,,,,,,,,
DIRECTORY_SUMMARIES,,,,,,,,,,,
TOTAL_markdown,5 files,markdown,3447269,3.3 MB,17664,3446402,249722,392511,116.59,2025-10-01 01:17:16,cl100k_base
TOTAL_markdown-by-mistral,5 files,markdown-by-mistral,1471757,1.4 MB,17920,1471754,237647,360148,250.58,2025-10-01 01:17:16,cl100k_base
TOTAL_markdown-by-llamaindex-parse,5 files,markdown-by-llamaindex-parse,1779308,1.7 MB,48490,1770175,225049,419059,241.17,2025-10-01 01:17:16,cl100k_base
,,,,,,,,,,,
GRAND_TOTAL,15 files across 3 directories,All directories,6698334,6.4 MB,84074,6688331,712418,1171718,179.13,2025-10-01 01:17:16,cl100k_base
